country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age
Croatia,2023,13500000,23750000,21300000,5391666.666666667,21000000,6125000,7625000,13250000,400000,8500000,24.6,28,24.8,25.166666666666668,27,25.75,28.5,27,22,24.5,NA,NA,NA,NA,NA,NA
Croatia,2024,14800000,16000000,19250000,3666666.6666666665,10000000,5625000,3066666.6666666665,8000000,3500000,10000000,25.6,27.2,26,27,27.333333333333332,25.75,31,25,23,25.5,NA,NA,NA,NA,NA,NA
Croatia,2025,11200000,15200000,21000000,6000000,5750000,5825000,1600000,5000000,4000000,12000000,26,28.2,24,25.25,26.5,26.5,33.5,25.5,24,25.666666666666668,NA,NA,NA,NA,NA,NA
Costa Rica,2018,875000,1400000,815625,410714.28571428574,450000,3366666.6666666665,350000,740000,312500,500000,26.5,23,27.625,26.857142857142858,26.8,28.5,26,22.6,26.5,21.25,3375000,27,1000000,NA,29,NA
Costa Rica,2019,470833.3333333333,625000,458333.3333333333,325000,295000,1203125,206250,550000,320833.3333333333,275000,28.5,28,27.555555555555557,30,29.8,27.875,22,27.2,26.5,25.2,900000,28.666666666666668,NA,NA,NA,NA
Costa Rica,2020,416666.6666666667,483333.3333333333,477272.7272727273,283333.3333333333,393750,1646428.5714285714,318750,691666.6666666666,370000,375000,27,27.333333333333332,26.90909090909091,26.166666666666668,24.5,28.285714285714285,25.25,25.666666666666668,25.2,27,1100000,28,NA,NA,NA,NA
Costa Rica,2021,341666.6666666667,591666.6666666666,600000,338636.36363636365,221875,1443750,918750,975000,345000,200000,30.666666666666668,26.333333333333332,27.142857142857142,25.363636363636363,24.75,28.625,22.5,26.5,26,24.2,1162500,30,NA,NA,NA,NA
Costa Rica,2022,250000,216666.66666666666,615000,350000,250000,1837500,200000,800000,275000,200000,27.5,24.666666666666668,28,24.333333333333332,23,28.333333333333332,17,25.666666666666668,25.5,26.25,1162500,31,NA,212500,NA,26
Costa Rica,2023,433333.3333333333,200000,805555.5555555555,412500,200000,1150000,1000000,531250,500000,212500,25.333333333333332,25.4,28.333333333333332,22.5,23.333333333333332,26,21,26.25,24.333333333333332,23.5,2500000,30,NA,275000,NA,21
Costa Rica,2024,387500,237500,697500,1315000,212500,537500,930000,481250,300000,180000,26.5,23.25,24.6,25.2,23.75,28.333333333333332,22.8,26.5,21,25,1500000,31,NA,300000,NA,22
