country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age
Nigeria,2019,NA,866666.6666666666,2433333.3333333335,10671428.57142857,7841666.666666667,356250,8650000,1166666.6666666667,16750000,4275000,NA,27.333333333333332,25.666666666666668,23.714285714285715,26.666666666666668,26.25,24.333333333333332,24.333333333333332,21.5,23.5,NA,NA,NA,NA,NA,NA
Nigeria,2020,NA,1750000,3166666.6666666665,12400000,2900000,243750,12875000,1750000,20000000,5350000,NA,22,25.833333333333332,23.2,25.333333333333332,25.25,23.75,23.5,21,23.5,NA,NA,NA,NA,NA,NA
Nigeria,2021,NA,2533333.3333333335,2633333.3333333335,14200000,8341666.666666667,416666.6666666667,9750000,3000000,16000000,3850000,NA,22.333333333333332,25.11111111111111,24.5,23.833333333333332,25.666666666666668,24.5,24.5,22,24.5,NA,NA,NA,NA,NA,NA
Nigeria,2022,NA,7000000,2719444.4444444445,17722222.222222224,13520000,550000,6946875,2500000,12000000,3700000,NA,23.666666666666668,26,25.333333333333332,24.8,25.8,25.125,24.333333333333332,20.5,25,9000000,24,NA,NA,NA,NA
Nigeria,2023,NA,8100000,5857142.857142857,22714285.714285713,26500000,1150000,12333333.333333334,4000000,12250000,4633333.333333333,NA,23.666666666666668,26.714285714285715,24.714285714285715,23.5,23,27.666666666666668,25.333333333333332,23,26,20000000,25,NA,NA,NA,NA
Nigeria,2024,NA,4600000,3792857.1428571427,31500000,13000000,850000,10975000,2300000,23000000,8250000,NA,24.6,27.142857142857142,26.125,24.5,25.333333333333332,27.75,26.333333333333332,24,26.5,30000000,26,NA,NA,NA,NA
Nigeria,2025,NA,4391666.666666667,4807142.857142857,16931818.181818184,11500000,2200000,9200000,4000000,18000000,7500000,NA,25.166666666666668,26.285714285714285,25.454545454545453,24,25.75,27.4,25.666666666666668,25,26,55000000,27,NA,NA,NA,NA
Serbia,2018,8416666.666666666,21625000,10806250,30333333.333333332,16000000,3200000,5000000,3933333.3333333335,17500000,1000000,26.333333333333332,24.5,27,24.666666666666668,27.4,26.8,23,30.333333333333332,26,34.666666666666664,NA,NA,22000000,NA,26,NA
Serbia,2019,4900000,29066666.666666668,8512500,10250000,9140000,3595000,6500000,3025000,12000000,1358333.3333333333,27.5,24.333333333333332,27.25,26.166666666666668,29.2,25,24,28.5,27,29,NA,NA,18000000,NA,28,NA
Serbia,2020,5100000,30000000,7885714.285714285,20500000,7825000,3860000,6000000,2333333.3333333335,10000000,NA,28.8,25.333333333333332,25.857142857142858,24.75,27.5,25,25,29.666666666666668,27.5,NA,NA,NA,20000000,NA,29,NA
Serbia,2021,5900000,14571428.57142857,5408333.333333333,8487500,4850000,2777777.777777778,2540000,1420000,8083333.333333333,920000,25.5,24.142857142857142,24.166666666666668,24.25,24.666666666666668,22.666666666666668,22.4,25,25.333333333333332,25,NA,NA,18500000,NA,29,NA
Serbia,2022,1800000,21750000,9062500,27375000,6500000,4750000,3750000,1966666.6666666667,5500000,NA,31,26,26.25,25,27.666666666666668,27.25,23.5,27,30,NA,NA,NA,12250000,NA,31,NA
Serbia,2023,2875000,19260000,5781818.181818182,16575000,5250000,2657142.8571428573,2150000,1233333.3333333333,3700000,NA,25,24,23.727272727272727,22.625,25.5,23.714285714285715,23.25,28,26.25,NA,NA,NA,13250000,NA,31,NA
Serbia,2024,7940000,12875000,9433333.333333334,9125000,3333333.3333333335,8366666.666666667,2833333.3333333335,2100000,3900000,7000000,22.8,28,26.444444444444443,24.375,28.5,27,24,29,30,24,NA,NA,5000000,NA,32,NA
Serbia,2025,7120000,11000000,9037500,12750000,4166666.6666666665,4807142.857142857,4266666.666666667,3000000,4600000,6250000,24,26.666666666666668,24,23.125,26.333333333333332,24.857142857142858,25.333333333333332,25,27.5,19.5,NA,NA,6000000,NA,32,NA
England,2018,19950000,14800000,14700000,27000000,11250000,7500000,15000000,16166666.666666666,50000000,14250000,22.8,23.4,24.5,27.6,24.75,26.571428571428573,19.333333333333332,23.333333333333332,23,26.25,NA,NA,NA,NA,NA,NA
England,2019,43500000,23000000,28250000,61666666.666666664,21500000,15200000,67500000,25000000,120000000,43333333.333333336,22.25,24.4,23.875,24,25,25.6,19.5,25,24,25.333333333333332,NA,NA,NA,NA,NA,NA
England,2020,70000000,47500000,29500000,56250000,23333333.333333332,19666666.666666668,71250000,45000000,68333333.33333333,35800000,20.333333333333332,24,27.166666666666668,25.5,27,26.666666666666668,23,24,21.333333333333332,25.4,NA,NA,NA,NA,NA,NA
England,2021,28940000,30000000,26285714.285714287,50000000,27500000,16100000,76666666.66666667,36000000,75000000,45400000,21.2,22.333333333333332,25.428571428571427,25,27.5,25.2,22.666666666666668,24.5,22.5,25.2,NA,NA,NA,NA,NA,NA
England,2022,77000000,53333333.333333336,26714285.714285713,44200000,21000000,20300000,77500000,33000000,71000000,36285714.28571428,23,25,27.857142857142858,27.8,30,29.2,26,25.333333333333332,25,26.857142857142858,NA,NA,NA,NA,NA,NA
England,2023,64000000,56000000,27777777.777777776,40600000,30000000,16375000,62500000,33000000,71000000,33800000,22.2,22.5,26.22222222222222,27,29.5,28.75,26,26.5,23.5,25.8,NA,NA,NA,NA,NA,NA
England,2024,77750000,63750000,29100000,45000000,23750000,15000000,47666666.666666664,19666666.666666668,76666666.66666667,32600000,24.5,23.75,26.5,29,28,28.833333333333332,26.666666666666668,25.666666666666668,24.666666666666668,27.4,NA,NA,NA,NA,NA,NA
England,2025,97500000,43166666.666666664,29857142.85714286,54500000,17750000,17666666.666666668,57500000,9000000,78333333.33333333,37500000,23.166666666666668,23.833333333333332,25.714285714285715,28.75,27,26.333333333333332,25,21,24.333333333333332,26.75,NA,NA,NA,NA,NA,NA
Japan,2018,3685714.285714286,1183333.3333333333,1587500,2800000,1170000,650000,2500000,1900000,1283333.3333333333,1450000,26.285714285714285,23.333333333333332,26.5,26.714285714285715,27.2,28,23.666666666666668,27.5,22,23.75,1000000,25,900000,NA,29,NA
Japan,2019,5790000,950000,1303125,1668181.8181818181,1083333.3333333333,646428.5714285715,2658333.3333333335,850000,4900000,3741666.6666666665,26.2,24.714285714285715,25.8125,25.818181818181817,26.666666666666668,28.285714285714285,24.166666666666668,26.5,23.833333333333332,25.166666666666668,1200000,28,1100000,1300000,21,23
Japan,2020,6000000,1500000,2012500,3700000,1750000,516666.6666666667,12500000,1500000,7300000,5325000,25.5,27,25,27,26,31,24,28.5,22.5,23.5,NA,NA,NA,1300000,NA,22
Japan,2021,6500000,1010000,1483333.3333333333,1866666.6666666667,3100000,507142.85714285716,3783333.3333333335,725000,8705000,4085714.285714286,27,25,26.77777777777778,26.666666666666668,27.666666666666668,28.714285714285715,23.666666666666668,29,23.6,24.714285714285715,NA,NA,NA,1500000,NA,23
Japan,2022,6562500,1157142.857142857,1618181.8181818181,1475000,4500000,541666.6666666666,3787500,750000,4171428.5714285714,7687500,25.25,24.857142857142858,26.545454545454547,24.333333333333332,26.666666666666668,26.833333333333332,24.25,29,26,27,700000,25,NA,NA,NA,NA
Japan,2023,9400000,7100000,8957142.857142856,6450000,4250000,1171428.5714285714,16400000,700000,16300000,10280000,27,26.6,26.714285714285715,25,25,26.428571428571427,25.8,22,27.2,24.4,1100000,27,NA,NA,NA,NA
Japan,2024,7450000,6575000,6606250,5370000,4150000,650000,15940000,200000,18640000,12000000,26,25,25.25,25.6,25,23.6,25.4,30,26.4,24.5,900000,22,NA,NA,NA,NA
Japan,2025,5750000,6633333.333333333,5488461.538461538,3186363.6363636362,3167857.1428571427,2271428.5714285714,12185714.285714285,150000,12233333.333333334,3812500,24.666666666666668,25.666666666666668,26.153846153846153,25.636363636363637,25.428571428571427,22.714285714285715,24.571428571428573,38,25.666666666666668,23.5,7000000,23,200000,425000,18,22.5
