country,year,central_midfield_market_value,centre-forward_market_value,left_winger_market_value,central_midfield_age,centre-forward_age,left_winger_age,attacking_midfield_market_value,centre-back_market_value,goalkeeper_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,centre-back_age,goalkeeper_age,left-back_age,right_winger_age,right-back_age,left_midfield_market_value,second_striker_market_value,left_midfield_age,second_striker_age,right_midfield_market_value,right_midfield_age,defensive_midfield_market_value,defensive_midfield_age,striker_market_value,striker_age,defender_market_value,midfielder_market_value,defender_age,midfielder_age
Brunei,2019,NA,37500,NA,NA,29.5,NA,25000,41666.666666666664,25000,NA,NA,NA,34,22,25.333333333333332,NA,NA,NA,25000,NA,24,NA,50000,33,NA,NA,NA,NA,NA,NA,NA,NA
Brunei,2022,43750,56250,50000,26,29.25,22.333333333333332,NA,64285.71428571428,87500,62500,62500,25000,NA,27,23,31.5,26.5,25,NA,NA,NA,NA,62500,33,37500,30.5,NA,NA,NA,NA,NA,NA
Brunei,2023,62500,NA,112500,27.5,NA,23,NA,62500,100000,50000,NA,25000,NA,25.25,26,34.5,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei,2024,37500,41666.666666666664,68750,29.25,29.666666666666668,26.5,NA,50000,36666.666666666664,37500,37500,41666.666666666664,NA,29.833333333333332,25.333333333333332,35.5,25.5,22.333333333333332,NA,NA,NA,NA,NA,NA,50000,34.5,NA,NA,NA,NA,NA,NA
Brunei,2025,41666.666666666664,50000,75000,26.666666666666668,27,25,NA,60000,36666.666666666664,25000,25000,41666.666666666664,NA,28.6,24.666666666666668,33,25,22,NA,NA,NA,NA,NA,NA,50000,33.5,NA,NA,NA,NA,NA,NA
Bhutan,2018,NA,NA,50000,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,2019,35000,41666.666666666664,100000,24.4,23,22.5,50000,37500,31250,41666.666666666664,37500,50000,22.5,22.5,25.75,22,21.5,27.5,NA,NA,NA,NA,50000,22,50000,26,50000,24,25000,25000,27.5,20
Bhutan,2023,58333.333333333336,50000,81250,27.666666666666668,22,23.75,25000,50000,58333.333333333336,33333.333333333336,50000,NA,29,22.714285714285715,29.666666666666668,24.666666666666668,24.333333333333332,NA,NA,NA,NA,NA,NA,NA,25000,27,NA,NA,NA,NA,NA,NA
Bhutan,2024,50000,25000,100000,28.5,26,24.75,50000,55000,50000,50000,75000,50000,25,23.4,27,25,26,23,NA,NA,NA,NA,NA,NA,75000,28,NA,NA,NA,25000,NA,25
Bhutan,2025,50000,50000,66666.66666666667,22,23,23.333333333333332,50000,43750,50000,50000,75000,50000,25,22.75,24,22,26,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,25
