country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Austria,2018,3000000,9900000,13406250,10740000,10000000,2500000,3000000,1000000,NA,10666666.666666666,NA,25,24.4,25.875,30,28,26.8,26,33,NA,25,NA,7500000,25,NA,NA,NA,NA,NA,NA
Austria,2019,3000000,14666666.666666666,10288888.888888888,11216666.666666666,9500000,2225000,2000000,1000000,NA,5512500,NA,25.5,23.333333333333332,24,28.333333333333332,27.333333333333332,26.666666666666668,25,33,NA,26,NA,10500000,23,1500000,22,NA,NA,NA,NA
Austria,2020,13100000,18250000,13611111.111111112,7400000,7066666.666666667,1520000,NA,800000,NA,5066666.666666667,NA,24.5,26.25,26.333333333333332,27.166666666666668,30,29.4,NA,35,NA,30.333333333333332,NA,6000000,25.5,2500000,25,NA,NA,NA,NA
Austria,2021,12750000,14833333.333333334,14222222.222222222,7214285.714285715,9060000,1400000,2950000,1800000,5000000,8500000,NA,25.5,26.666666666666668,26.77777777777778,26.714285714285715,27.6,28.6,28,32,19,29.75,NA,3900000,26.5,2000000,26,NA,NA,NA,NA
Austria,2022,9875000,14666666.666666666,15812500,6950000,9250000,1350000,3500000,1700000,10500000,10600000,NA,24.5,27.666666666666668,27.5,28.666666666666668,27,27.5,24,33,23,30.666666666666668,NA,3000000,27.5,4000000,24.5,NA,NA,NA,NA
Austria,2023,6700000,21000000,13655555.555555556,6337500,13333333.333333334,1266666.6666666667,3500000,1225000,8000000,28000000,NA,23.6,26.5,24.11111111111111,28.375,24.333333333333332,25.666666666666668,24,27.75,21,25,NA,NA,NA,4000000,21,NA,NA,NA,NA
Austria,2024,6214285.714285715,9000000,9522222.222222222,2566666.6666666665,10000000,2020000,4500000,1800000,15000000,13100000,NA,26.285714285714285,29,26.666666666666668,29.666666666666668,26.5,28,24.5,31,24,30,NA,NA,NA,5000000,24,NA,NA,NA,NA
Austria,2025,10750000,14600000,10222222.222222222,2950000,9750000,1880000,2833333.3333333335,1900000,6500000,13400000,NA,26,29,26.444444444444443,30.25,26,25.6,25.333333333333332,27,20.5,29.5,NA,800000,21,9000000,23,NA,NA,NA,NA
Netherlands,2018,3166666.6666666665,12428571.42857143,19000000,8833333.333333334,6200000,5550000,7180000,9000000,6500000,4400000,19000000,23.666666666666668,24.428571428571427,23.5,26.666666666666668,23,26.75,25.2,27,26,22.6,23,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2019,10500000,28666666.666666668,45600000,7500000,13500000,9000000,18166666.666666668,9000000,12000000,8750000,50000000,19.5,24.666666666666668,24.6,22.5,24,28.75,26.333333333333332,28,27,23.75,24,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2020,14166666.666666666,34400000,31333333.333333332,20000000,19500000,4125000,12733333.333333334,12250000,12000000,11250000,45000000,21.333333333333332,27.4,26.166666666666668,26,26.666666666666668,29.75,28.666666666666668,25.5,29,26.5,27,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2021,13666666.666666666,40500000,54000000,22333333.333333332,17000000,4435714.285714285,11916666.666666666,7400000,14000000,6700000,45000000,22.333333333333332,25.75,26.6,26.333333333333332,23.5,29,25,24,29,22.6,26,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2022,8166666.666666667,28750000,34833333.333333336,13100000,15750000,3896875,26250000,12000000,14000000,14166666.666666666,45000000,21.666666666666668,25.5,27.833333333333332,25.6,25.75,28.375,23,22,30,22.166666666666668,27,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2023,19666666.666666668,18000000,31000000,12750000,12875000,4535714.285714285,34000000,10666666.666666666,14000000,23400000,20000000,22.333333333333332,25.666666666666668,26.571428571428573,23.75,24.75,26.142857142857142,23.666666666666668,21.333333333333332,31,22.8,28,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2024,32375000,30800000,29714285.714285713,22250000,20750000,9900000,30000000,21000000,NA,32600000,12000000,23.75,26.2,27.571428571428573,24.5,25.75,27.2,24.666666666666668,19,NA,23,29,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2025,40500000,28900000,29714285.714285713,19500000,39000000,8800000,40000000,28333333.333333332,NA,36750000,10000000,23.75,23.8,26.714285714285715,25,24.666666666666668,25.4,25,21,NA,24.75,30,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2018,26000000,25285714.285714287,17791666.666666668,24062500,32500000,19300000,37000000,11000000,32000000,16750000,6000000,26,25.857142857142858,28,25.75,23,28.8,27,27,25.4,27,32,15000000,27,NA,NA,NA,NA,NA,NA
Italy,2019,32000000,35000000,15875000,18150000,28875000,22600000,22166666.666666668,15375000,29625000,13833333.333333334,45000000,24,24.25,29.375,28.5,24,25.6,27.666666666666668,25,24.25,27.333333333333332,20,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2020,22000000,33600000,19333333.333333332,20285714.285714287,33250000,25200000,27666666.666666668,18750000,36000000,17000000,50000000,27,24,28.22222222222222,25.857142857142858,23,25.4,27,24.5,23.5,25.75,20,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2021,37000000,34600000,18285714.285714287,29500000,33750000,24000000,20833333.333333332,13625000,30750000,17500000,24500000,24,24.4,29.142857142857142,24.5,24,25.6,28,26,25.5,26.75,20.5,7000000,28,NA,NA,NA,NA,NA,NA
Italy,2022,45000000,23037500,15666666.666666666,19500000,25000000,16500000,20333333.333333332,13900000,25000000,13250000,20000000,25,23.125,27.444444444444443,27,23.5,26.428571428571427,28,25.8,23.833333333333332,27.666666666666668,23.666666666666668,500000,22,NA,NA,NA,NA,NA,NA
Italy,2023,23750000,39000000,14600000,20250000,33750000,15583333.333333334,13000000,14500000,24100000,14666666.666666666,32500000,29.5,25.75,26.7,25,26,25.166666666666668,28.666666666666668,25.666666666666668,25.2,30.333333333333332,22.5,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2024,10333333.333333334,21500000,21587500,16250000,24333333.333333332,22000000,15000000,29500000,31000000,8733333.333333334,28500000,27.666666666666668,23.166666666666668,23,23.5,25.333333333333332,25.2,29.5,22.75,26,28,23.5,7000000,23,NA,NA,NA,NA,NA,NA
Italy,2025,10000000,28666666.666666668,22000000,31000000,32000000,26750000,14000000,31416666.666666668,13000000,10000000,22000000,24,26,26.555555555555557,25.166666666666668,26.6,27.5,28,26.166666666666668,30.5,32,26,10750000,30,NA,NA,NA,NA,NA,NA
Turkey,2018,6666666.666666667,2570000,6200000,7716666.666666667,8800000,1383333.3333333333,1175000,1450000,15000000,5300000,NA,24.333333333333332,26.8,24.833333333333332,28.666666666666668,27.6,28.5,27.5,28,23.333333333333332,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2019,5625000,3408333.3333333335,4070000,7887500,7840000,950000,1450000,1525000,13666666.666666666,2875000,NA,23.25,26.166666666666668,21,25,24.8,24.8,21,25.5,23,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2020,7080000,8833333.333333334,20660000,4933333.333333333,10800000,9600000,3350000,1500000,10700000,14500000,NA,26,23,24,29.666666666666668,27.6,26.5,23.5,29.25,25.333333333333332,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2021,7700000,8400000,13933333.333333334,6083333.333333333,7471875,7983333.333333333,7000000,3150000,7640000,9666666.666666666,NA,27,25,26.333333333333332,27.333333333333332,28,27.333333333333332,24,26.666666666666668,26,23.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2022,10666666.666666666,11850000,7900000,5314285.714285715,9814285.714285715,7000000,6933333.333333333,6368750,9050000,5833333.333333333,NA,22.666666666666668,22.75,25.125,27.857142857142858,27.428571428571427,26.5,26.333333333333332,25.25,26,26.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2023,7580000,11833333.333333334,10883333.333333334,6066666.666666667,13260000,5790000,7250000,5850000,9125000,8333333.333333333,NA,24.6,24.666666666666668,25,25.666666666666668,25.4,28.2,23,21.25,24.5,25.333333333333332,NA,1000000,20,NA,NA,NA,NA,NA,NA
Turkey,2024,17900000,30000000,5650000,5140000,9100000,4580000,22200000,10250000,9666666.666666666,6000000,NA,23.25,24,26.5,27,28.125,29.8,24,23,25.333333333333332,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,2025,28500000,14150000,5664285.714285715,4500000,11871428.57142857,4940000,19900000,9950000,6350000,5750000,NA,19,21,25.857142857142858,20,27,28,23.4,23.5,26.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2018,3750000,7500000,1053125,2937500,2712500,1925000,2416666.6666666665,2250000,2550000,3250000,NA,24.833333333333332,25.5,28.75,25.5,26.25,31.5,26.666666666666668,28,25.25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2019,2866666.6666666665,2900000,1050000,2333333.3333333335,4200000,2780000,3641666.6666666665,1108333.3333333333,2550000,1950000,NA,27,26.5,28.77777777777778,27.5,25.5,30.6,25.333333333333332,27.333333333333332,26.333333333333332,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2020,4916666.666666667,15000000,1350000,1500000,1550000,1100000,6000000,1200000,4000000,1575000,NA,27,25,28.444444444444443,29.5,29,32.5,24.5,29,28,27.5,NA,1000000,29,NA,NA,NA,NA,NA,NA
Romania,2021,3442857.1428571427,5750000,1282857.142857143,1900000,1308333.3333333333,1578571.4285714286,5666666.666666667,1266666.6666666667,2170000,1166666.6666666667,NA,25.857142857142858,24.5,25,26.833333333333332,26.166666666666668,25.142857142857142,22.333333333333332,30,23.2,22.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2022,4420000,4375000,2307142.8571428573,1640000,1958333.3333333333,1766666.6666666667,2820000,825000,2420000,1787500,NA,28,29,28.428571428571427,26.4,26.666666666666668,25.666666666666668,23.6,30.25,23.8,23.5,NA,500000,31,NA,NA,NA,NA,NA,NA
Romania,2023,5360000,8000000,1685714.2857142857,1370000,1966666.6666666667,1680000,3666666.6666666665,791666.6666666666,3733333.3333333335,1833333.3333333333,NA,26,26,25,24.4,25.333333333333332,25.8,22,25,23.666666666666668,24.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2024,3400000,2350000,4127777.777777778,2550000,2300000,2100000,4000000,950000,4966666.666666667,5233333.333333333,NA,28.4,25.5,27.22222222222222,28.25,26.75,27.5,27.333333333333332,31.666666666666668,25.333333333333332,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2025,2560000,3000000,1377777.7777777778,3280000,2350000,2991666.6666666665,2600000,850000,5175000,5362500,NA,29.2,26.5,28.333333333333332,26.8,30,28.5,27,30,26.5,30.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,2018,NA,100000,50000,75000,75000,NA,NA,NA,37500,NA,NA,NA,29,28,30,24,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,2019,75000,125000,NA,NA,125000,NA,NA,NA,50000,50000,NA,21,31,NA,NA,27,NA,NA,NA,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,2021,62500,150000,37000,50000,34000,80000,50000,NA,62500,50000,NA,27.5,22,28.6,26.666666666666668,29.6,27,24.5,NA,25.5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,2022,NA,25000,46250,50000,28333.333333333332,58333.333333333336,25000,25000,50000,20000,NA,NA,26,28.25,27,28.333333333333332,28.333333333333332,27,27.5,26,22.333333333333332,NA,17500,23.5,NA,NA,NA,NA,NA,NA
Taiwan,2023,175000,75000,64285.71428571428,118750,75000,66666.66666666667,66666.66666666667,62500,91666.66666666667,150000,NA,24,25.666666666666668,28.428571428571427,24.5,29.75,30,25.666666666666668,27.5,29,25.5,NA,75000,28,NA,NA,NA,NA,NA,NA
Taiwan,2024,110000,58750,62500,133333.33333333334,100000,100000,25000,100000,75000,125000,NA,23,25,27.5,23.833333333333332,29.2,27.666666666666668,23,23,29.5,25,NA,75000,27,NA,NA,NA,NA,NA,NA
Taiwan,2025,95000,57000,53500,175000,62500,62500,50000,37500,62500,50000,NA,23.2,24,25.6,25,30,25.5,23,23.5,24.75,24,NA,50000,28,NA,NA,NA,NA,NA,NA
Scotland,2018,NA,5605555.555555556,1478571.4285714286,3600000,1950000,800000,10666666.666666666,19137500,4687500,600000,1500000,NA,25.77777777777778,25,26,27.666666666666668,31.666666666666668,25.333333333333332,26.75,28.75,24.5,32,12000000,29,850000,28,NA,NA,NA,NA
Scotland,2019,NA,9187500,1269444.4444444445,2875000,2600000,395000,9050000,32400000,4425000,750000,1000000,NA,26.75,25.666666666666668,24.5,27.5,29.2,24.5,24,29.75,28,33,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2020,NA,13071428.57142857,2075000,3858333.3333333335,7000000,362500,10000000,33000000,6000000,775000,NA,NA,27.428571428571427,28.333333333333332,25.833333333333332,28,32.5,27,24.666666666666668,29,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2021,NA,11625000,2787500,6300000,10000000,430000,10000000,33166666.666666668,5000000,2400000,NA,NA,26.625,28.25,25.2,25,33.2,28,25.666666666666668,30,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2022,NA,9911111.111111112,2834375,7950000,10250000,440000,3425000,16100000,NA,9590000,NA,NA,27.22222222222222,28.25,26,26,32.2,28.5,25.8,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2023,NA,12142857.142857144,3800000,6770000,10000000,1137500,NA,23750000,NA,8506250,NA,NA,27.714285714285715,27.285714285714285,25.8,25,26.5,NA,24.5,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2024,6000000,13715625,2328571.4285714286,5740000,9166666.666666666,664285.7142857143,4000000,7800000,7250000,4460000,NA,29,29.625,29.571428571428573,27.2,26,29.571428571428573,28,26.8,26,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2025,NA,13400000,3340000,4287500,9250000,583333.3333333334,NA,13166666.666666666,10000000,10125000,NA,NA,26,28.6,24.875,22.5,28.333333333333332,NA,26.333333333333332,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,2018,NA,1535000,2662500,1278571.4285714286,940000,855000,358333.3333333333,625000,23100000,1404166.6666666667,NA,NA,24.2,23.375,24.285714285714285,21.6,25.4,22,26,20.5,23,NA,NA,NA,3000000,24,NA,NA,NA,NA
United States,2019,2150000,4310714.285714285,2735000,2607142.8571428573,6950000,1696428.5714285714,837500,2125000,28400000,7000000,NA,20.5,26.142857142857142,25.5,25.571428571428573,24,27.714285714285715,24,25,23,23,NA,2800000,25,NA,NA,NA,NA,NA,NA
United States,2020,1866666.6666666667,4225000,3662500,1562500,8000000,2491666.6666666665,541666.6666666666,1000000,2150000,3250000,NA,19.333333333333332,21.166666666666668,24.5,21.25,22,24.666666666666668,19.333333333333332,21.5,23.5,19.8,NA,8000000,19,NA,NA,NA,NA,NA,NA
United States,2021,12000000,4300000,2769230.769230769,3213888.888888889,4500000,1412500,1375000,2400000,16562500,3967500,NA,18.5,22.181818181818183,24.307692307692307,21.666666666666668,20.666666666666668,25,20.5,19.75,22.5,21.6,NA,7500000,20,NA,NA,NA,NA,NA,NA
United States,2022,18500000,8657142.857142856,3625000,5057142.857142857,9000000,2875000,NA,5333333.333333333,24000000,6960000,NA,19.666666666666668,22.714285714285715,25.75,23.571428571428573,23,27.75,NA,21.666666666666668,24.5,23.2,NA,15000000,21,NA,NA,NA,NA,NA,NA
United States,2023,12157142.857142856,7722222.222222222,3831250,7285714.285714285,2050000,3042857.1428571427,5000000,3333333.3333333335,9820000,6700000,NA,21.714285714285715,23,24.916666666666668,22.428571428571427,23.25,25.714285714285715,19,21.166666666666668,24.2,23.6,NA,7250000,25.5,5000000,19,NA,NA,NA,NA
United States,2024,12000000,7527777.777777778,5525000,10500000,6300000,2742857.1428571427,4000000,7200000,9662500,7020000,NA,21.75,22.555555555555557,26.125,23.428571428571427,22.5,27.142857142857142,20,22.6,22.25,23.6,NA,14000000,23,4500000,20,NA,NA,NA,NA
United States,2025,9528571.42857143,8318181.818181818,5225000,10500000,6375000,2214285.714285714,1200000,3750000,19000000,6425000,NA,22,23.363636363636363,26.6,23.714285714285715,24.25,25.571428571428573,23,24.5,25,23.833333333333332,NA,17000000,24,6000000,21,NA,NA,NA,NA
Finland,2018,1575000,610000,413636.36363636365,983333.3333333334,500000,2750000,350000,1925000,700000,291666.6666666667,NA,24.5,24.2,27.727272727272727,26.11111111111111,30,28.5,23,25.5,24,27.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,2019,1341666.6666666667,620000,444444.44444444444,735714.2857142857,450000,2405000,333333.3333333333,762500,275000,75000,NA,27,23.6,26.333333333333332,24.142857142857142,29,25.8,22.666666666666668,25,21,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,2020,1500000,3133333.3333333335,562500,2890000,475000,2025000,416666.6666666667,1116666.6666666667,NA,375000,NA,22,27.666666666666668,29.125,25.8,32,32.25,25,26.333333333333332,NA,29.5,NA,300000,23,NA,NA,NA,NA,NA,NA
Finland,2021,916666.6666666666,1250000,554545.4545454546,3075000,325000,2590000,450000,1133333.3333333333,NA,450000,NA,22.666666666666668,26,27.454545454545453,26.5,31,30.2,23.8,26,NA,29,NA,400000,23,NA,NA,NA,NA,NA,NA
Finland,2022,1466666.6666666667,2440000,827777.7777777778,2325000,600000,1100000,700000,700000,525000,233333.33333333334,NA,25,25.6,27.22222222222222,27.5,28.5,28,26.25,25.5,23,27.333333333333332,NA,325000,25,NA,NA,NA,NA,NA,NA
Finland,2023,3500000,1950000,806250,1600000,550000,883333.3333333334,900000,612500,600000,400000,NA,26,26.571428571428573,26.125,25.714285714285715,25.5,25.833333333333332,26.75,23.75,23,31,NA,325000,26,NA,NA,NA,NA,NA,NA
Finland,2024,2837500,3112500,664285.7142857143,2333333.3333333335,425000,937500,1250000,600000,2900000,750000,NA,25.75,27.75,28.571428571428573,30.666666666666668,27.666666666666668,30,25.333333333333332,25,21.666666666666668,31,NA,500000,27,NA,NA,NA,NA,NA,NA
Finland,2025,2075000,2775000,700000,2075000,775000,1125000,1083333.3333333333,480000,1600000,775000,NA,23.75,25.833333333333332,27,27.5,24.75,27.75,22.333333333333332,24.2,22,30.5,NA,500000,27,NA,NA,NA,NA,NA,NA
Luxembourg,2018,1012500,500000,346875,320000,662500,160000,125000,125000,2000000,400000,NA,22,19,24.625,27.6,25.25,23.2,33,28,19,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2019,591666.6666666666,400000,313888.8888888889,265000,583333.3333333334,208333.33333333334,125000,125000,3000000,637500,NA,22.666666666666668,18,23.444444444444443,27.4,26.333333333333332,26,33,28,18,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2020,716666.6666666666,11000000,287500,875000,1050000,300000,NA,600000,1000000,350000,NA,25,21,25.3,27.5,22,27.333333333333332,NA,28,21,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2021,666666.6666666666,4000000,382500,487500,495000,183333.33333333334,75000,525000,1800000,437500,NA,24.666666666666668,20,25.5,27,23.2,26.666666666666668,35,27,20,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2022,662500,7087500,366666.6666666667,400000,1941666.6666666667,462500,1500000,900000,387500,375000,NA,27.75,21.5,26.77777777777778,25.6,24.333333333333332,27,19,30,21,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2023,390000,8587500,387500,616666.6666666666,2750000,1050000,625000,700000,225000,325000,NA,27,22.5,27.25,26,25,34,20,31,25.333333333333332,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2024,662500,5100000,565000,312500,2366666.6666666665,1141666.6666666667,266666.6666666667,600000,NA,300000,NA,28.5,22.333333333333332,27.8,25.25,27.666666666666668,26,20.666666666666668,32,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2025,462500,7600000,460714.28571428574,262500,3000000,700000,500000,700000,500000,300000,NA,28,21.5,27.571428571428573,23.666666666666668,25,27,20,31,24,26.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2018,3500000,6500000,2770000,1391666.6666666667,5333333.333333333,4166666.6666666665,4250000,6140000,11200000,2333333.3333333335,NA,26,22.75,26.3,26.333333333333332,28.333333333333332,28.666666666666668,27,22.6,25.6,26.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2019,2600000,4760000,2960000,4093750,4233333.333333333,1550000,4800000,12066666.666666666,7420000,2200000,NA,28,24.8,27,28,28.333333333333332,31,30,23,26.6,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2020,2000000,11375000,4366666.666666667,7666666.666666667,3725000,1916666.6666666667,2000000,11875000,9000000,2900000,NA,30,24.75,24.666666666666668,26.666666666666668,29.25,28.666666666666668,31,24,27.75,24.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2021,2142857.1428571427,10750000,5357142.857142857,4940000,2920000,4160000,1200000,10140000,8075000,3000000,NA,25.571428571428573,25.75,25.428571428571427,26.6,29.4,28.6,32,24.6,28.75,25.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2022,NA,7450000,6962500,8000000,3500000,6366666.666666667,50000000,18375000,9666666.666666666,2750000,NA,NA,26.5,25.25,25,32.5,27.666666666666668,22,26,28,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2023,6000000,6000000,5285714.285714285,5080000,4500000,5560000,20350000,12300000,9000000,2400000,NA,23.666666666666668,26,24.857142857142858,23.4,32,24.8,27,25,28,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2024,17750000,6750000,13640000,16000000,4450000,14500000,3000000,16666666.666666666,7625000,3633333.3333333335,NA,27,26.333333333333332,26.4,26.666666666666668,30.666666666666668,26.5,27,27.333333333333332,29.25,25.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2025,11250000,7833333.333333333,11671428.57142857,10833333.333333334,6250000,10060000,2750000,9750000,5366666.666666667,2600000,NA,26,27.833333333333332,26.571428571428573,27.666666666666668,24.5,28.4,28,27.25,27.833333333333332,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2018,2166666.6666666665,1000000,3680000,733333.3333333334,1250000,462500,750000,633333.3333333334,900000,625000,NA,23.666666666666668,23.666666666666668,26.2,27,30,28.75,26,26.333333333333332,23,24.5,NA,NA,NA,450000,25,NA,NA,NA,NA
Georgia,2019,670000,918750,2203571.4285714286,785000,675000,500000,1370000,650000,462500,800000,NA,25.6,25.25,28.285714285714285,27,31,29.75,24.6,27,24,25,NA,NA,NA,350000,26,NA,NA,NA,NA
Georgia,2020,1775000,900000,1331250,800000,483333.3333333333,466666.6666666667,5900000,50000,1150000,325000,NA,25.75,26.5,27.875,26.25,32,30.333333333333332,23.5,35,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2021,2100000,900000,1372222.2222222222,970000,468750,312500,2933333.3333333335,300000,1800000,425000,NA,24.8,25.25,26.666666666666668,24.8,29,24.75,22.333333333333332,21,25,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2022,2200000,550000,1150000,3250000,833333.3333333334,6387500,15766666.666666666,800000,750000,716666.6666666666,NA,25,27.666666666666668,28.375,27,26,27.75,25,24,27,25.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2023,2100000,585000,762500,1600000,783333.3333333334,8583333.333333334,13420000,1000000,800000,800000,NA,24.5,22.2,26.5,26.5,25.333333333333332,27,23.4,20,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2024,5250000,2500000,1347222.2222222222,6675000,620000,10316666.666666666,26500000,4000000,750000,2000000,NA,27,24.666666666666668,29.22222222222222,27.25,29.4,29.666666666666668,25.5,23,29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2025,3233333.3333333335,1425000,1250000,3983333.3333333335,712500,10225000,14271428.57142857,1883333.3333333333,550000,2000000,NA,26.666666666666668,24.25,25.4,26.666666666666668,26.25,28,24.142857142857142,22,27,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2018,100000,487500,2225000,358333.3333333333,125000,250000,450000,NA,850000,150000,NA,31,27,27.5,23.666666666666668,28,25.5,28,NA,28.666666666666668,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2019,NA,337500,850000,416666.6666666667,650000,166666.66666666666,2100000,816666.6666666666,425000,516666.6666666667,NA,NA,28,28,27,25,29.333333333333332,32.5,25.666666666666668,27.333333333333332,27.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2020,NA,200000,308333.3333333333,700000,950000,162500,350000,300000,375000,NA,NA,NA,20,27.666666666666668,25.333333333333332,21.5,27.25,30,27,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2021,NA,625000,737500,2000000,658333.3333333334,156250,718750,1150000,855555.5555555555,150000,NA,NA,28.666666666666668,28.75,27,24.666666666666668,29.5,25.75,27.666666666666668,23.77777777777778,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2022,NA,725000,850000,2075000,625000,150000,300000,983333.3333333334,2010000,450000,NA,NA,25,28,27.2,24.333333333333332,30,23,27,23,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2023,NA,625000,450000,2050000,537500,156250,331250,1062500,1325000,450000,NA,NA,25.25,27,27.75,23.75,30.25,23.75,27.25,25.25,26.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2024,1800000,637500,2712500,2157142.8571428573,491666.6666666667,145000,693750,916666.6666666666,3200000,587500,NA,26,26.25,28.25,25.571428571428573,22.833333333333332,29.8,25.75,26,23,25.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,2025,1500000,450000,3860000,2041666.6666666667,950000,150000,1500000,650000,3900000,700000,NA,27,27.666666666666668,28.2,27,22,33,26,27,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2018,1116666.6666666667,962500,4990625,1387500,900000,416666.6666666667,850000,800000,1050000,3833333.3333333335,10000000,28.666666666666668,24.25,27.375,26.5,26,28,22,27,24,26.333333333333332,29,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2019,816666.6666666666,785000,5634375,1200000,815000,420000,1150000,462500,1200000,3762500,NA,28,24.2,26.875,26.666666666666668,25.6,26,21.5,25,23,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2020,NA,525000,3584375,412500,1162500,375000,2108333.3333333335,1200000,612500,3541666.6666666665,5000000,NA,26,30,27,28.75,29,25,29,27.5,27.666666666666668,31,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,2021,162500,637500,2602777.777777778,603571.4285714285,1256250,212500,2350000,637500,837500,2060000,6500000,21.5,25.166666666666668,27.333333333333332,25.714285714285715,30,29,23.5,26,27.5,26.8,31,NA,NA,NA,NA,NA,NA,NA,NA
