date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2020-09-06,Hungary,Russia,6,12,1618,1793,lose
2020-09-06,Serbia,Turkey,8,6,1794,1778,tie
2020-09-06,Wales,Bulgaria,13,4,1782,1574,win
2020-09-06,Slovenia,Moldova,7,1,1586,1239,win
2020-09-06,Kosovo,Greece,1,13,1564,1607,lose
2020-09-06,Andorra,Faroe Islands,2,9,1107,1225,lose
2020-09-06,Malta,Latvia,1,5,1167,1254,tie
2020-09-07,Bosnia and Herzegovina,Poland,4,12,1683,1789,lose
2020-09-07,Netherlands,Italy,10,13,2017,1968,lose
2020-09-07,Northern Ireland,Norway,5,10,1677,1722,lose
2020-09-07,Austria,Romania,9,5,1741,1701,lose
2020-09-07,Czech Republic,Scotland,6,13,1735,1639,lose
2020-09-07,Israel,Slovakia,5,5,1538,1734,tie
2020-09-07,Kazakhstan,Belarus,6,3,1360,1493,lose
2020-09-07,Albania,Lithuania,7,6,1531,1320,lose
2020-09-08,Belgium,Iceland,15,9,2083,1672,win
2020-09-08,Denmark,England,8,13,1891,1955,tie
2020-09-08,France,Croatia,13,7,2046,1919,win
2020-09-08,Sweden,Portugal,9,12,1859,1986,lose
2020-09-08,Luxembourg,Montenegro,3,9,1339,1523,lose
2020-09-08,Cyprus,Azerbaijan,0,3,1399,1376,lose
2020-09-08,Armenia,Estonia,3,0,1450,1433,win
2020-09-08,Georgia,North Macedonia,7,7,1550,1546,tie
2020-09-08,San Marino,Liechtenstein,0,4,820,1141,lose
2020-10-06,Nicaragua,Guatemala,2,11,1188,1501,tie
2020-10-07,Andorra,Cape Verde,2,9,1107,1401,lose
2020-10-07,Austria,Greece,9,10,1741,1607,win
2020-10-07,Cyprus,Czech Republic,0,9,1399,1735,lose
2020-10-07,Denmark,Faroe Islands,8,6,1891,1225,win
2020-10-07,Estonia,Lithuania,0,9,1433,1320,lose
2020-10-07,France,Ukraine,15,7,2046,1855,win
2020-10-07,Germany,Turkey,9,6,1964,1778,tie
2020-10-07,Italy,Moldova,13,1,1968,1239,win
2020-10-07,Luxembourg,Liechtenstein,3,6,1339,1141,lose
2020-10-07,Malta,Gibraltar,4,3,1167,1085,win
2020-10-07,Montenegro,Latvia,10,6,1523,1254,tie
2020-10-07,Netherlands,Mexico,7,15,2017,1901,lose
2020-10-07,Poland,Finland,12,6,1789,1646,win
2020-10-07,Portugal,Spain,13,11,1986,2028,tie
2020-10-07,Slovenia,San Marino,10,0,1586,820,win
2020-10-07,Switzerland,Croatia,7,9,1897,1919,lose
2020-10-07,Zambia,Malawi,7,7,1432,1342,win
2020-10-08,Belgium,Ivory Coast,13,10,2083,1615,tie
2020-10-08,England,Wales,13,12,1955,1782,win
2020-10-08,Russia,Sweden,9,9,1793,1859,lose
2020-10-08,South Africa,Namibia,7,7,1531,1320,tie
2020-10-08,Uzbekistan,Iran,9,9,1580,1739,lose
2020-10-08,Paraguay,Peru,6,5,1738,1865,tie
2020-10-08,Uruguay,Chile,11,5,1966,1807,win
2020-10-08,Argentina,Ecuador,11,6,1970,1726,win
2020-10-08,Iceland,Romania,9,4,1672,1701,win
2020-10-08,Bulgaria,Hungary,4,6,1574,1618,lose
2020-10-08,Bosnia and Herzegovina,Northern Ireland,5,3,1683,1677,tie
2020-10-08,Scotland,Israel,11,3,1639,1538,tie
2020-10-08,Norway,Serbia,9,8,1722,1794,lose
2020-10-08,Georgia,Belarus,7,3,1550,1493,win
2020-10-08,North Macedonia,Kosovo,10,1,1546,1564,win
2020-10-09,Burkina Faso,DR Congo,8,3,1526,1502,win
2020-10-09,Congo,Gambia,4,9,1389,1332,lose
2020-10-09,Japan,Cameroon,7,6,1744,1578,tie
2020-10-09,Kenya,Zambia,6,6,1376,1432,win
2020-10-09,Mali,Ghana,8,10,1534,1630,win
2020-10-09,Mauritania,Sierra Leone,8,4,1380,1330,win
2020-10-09,Morocco,Senegal,8,7,1659,1763,win
2020-10-09,Nigeria,Algeria,8,13,1709,1742,lose
2020-10-09,Tunisia,Sudan,10,7,1619,1266,win
2020-10-09,Colombia,Venezuela,10,10,1985,1830,win
2020-10-09,Brazil,Bolivia,8,3,2081,1595,win
2020-10-10,Spain,Switzerland,11,4,2028,1897,win
2020-10-10,Ukraine,Germany,4,9,1855,1964,lose
2020-10-10,Luxembourg,Cyprus,6,0,1339,1399,win
2020-10-10,Montenegro,Azerbaijan,13,3,1523,1376,win
2020-10-10,Faroe Islands,Latvia,7,7,1225,1254,tie
2020-10-10,Andorra,Malta,2,5,1107,1167,tie
2020-10-10,Liechtenstein,Gibraltar,6,6,1141,1085,lose
2020-10-10,Cape Verde,Guinea,8,7,1401,1430,lose
2020-10-10,Costa Rica,Panama,5,6,1657,1503,lose
2020-10-10,Honduras,Nicaragua,11,2,1630,1188,tie
2020-10-10,Niger,Chad,4,3,1252,1210,win
2020-10-11,Bosnia and Herzegovina,Netherlands,6,7,1683,2017,tie
2020-10-11,Poland,Italy,10,11,1789,1968,tie
2020-10-11,England,Belgium,13,10,1955,2083,win
2020-10-11,Iceland,Denmark,6,8,1672,1891,lose
2020-10-11,Croatia,Sweden,9,6,1919,1859,win
2020-10-11,France,Portugal,13,11,2046,1986,tie
2020-10-11,Norway,Romania,9,4,1722,1701,win
2020-10-11,Northern Ireland,Austria,2,9,1677,1741,lose
2020-10-11,Scotland,Slovakia,11,5,1639,1734,win
2020-10-11,Israel,Czech Republic,3,9,1538,1735,lose
2020-10-11,Serbia,Hungary,5,9,1794,1618,lose
2020-10-11,Russia,Turkey,10,6,1793,1778,tie
2020-10-11,Finland,Bulgaria,6,4,1646,1574,win
2020-10-11,Armenia,Georgia,4,8,1450,1550,tie
2020-10-11,Estonia,North Macedonia,1,11,1433,1546,tie
2020-10-11,Kosovo,Slovenia,1,10,1564,1586,lose
2020-10-11,Greece,Moldova,10,1,1607,1239,win
2020-10-11,Kazakhstan,Albania,7,5,1360,1531,tie
2020-10-11,Lithuania,Belarus,10,4,1320,1493,tie
2020-10-11,Gabon,Benin,10,7,1457,1459,lose
2020-10-11,Malawi,Zimbabwe,5,8,1342,1408,tie
2020-10-11,South Africa,Zambia,7,6,1531,1432,lose
2020-10-11,Tanzania,Burundi,5,5,1298,1163,lose
2020-10-12,Burkina Faso,Madagascar,10,8,1526,1428,win
2020-10-12,Ghana,Qatar,10,6,1630,1668,win
2020-10-12,Togo,Sudan,3,5,1313,1266,tie
2020-10-12,United Arab Emirates,Uzbekistan,3,9,1451,1580,lose
2020-10-13,Cameroon,South Sudan,7,7,1578,1055,tie
2020-10-13,Germany,Switzerland,7,2,1964,1897,tie
2020-10-13,Ukraine,Spain,6,8,1855,2028,win
2020-10-13,Azerbaijan,Cyprus,4,1,1376,1399,tie
2020-10-13,Montenegro,Luxembourg,10,9,1523,1339,lose
2020-10-13,Latvia,Malta,4,8,1254,1167,lose
2020-10-13,Faroe Islands,Andorra,10,2,1225,1107,win
2020-10-13,Liechtenstein,San Marino,7,1,1141,820,tie
2020-10-13,Costa Rica,Panama,4,6,1657,1503,lose
2020-10-13,Japan,Ivory Coast,10,7,1744,1615,win
2020-10-13,Mexico,Algeria,13,13,1901,1742,tie
2020-10-13,Morocco,DR Congo,8,3,1659,1502,tie
2020-10-13,Mozambique,Angola,10,9,1339,1340,lose
2020-10-13,Niger,Sierra Leone,6,4,1252,1330,win
2020-10-13,Nigeria,Tunisia,8,11,1709,1619,tie
2020-10-13,Bolivia,Argentina,3,13,1595,1970,lose
2020-10-13,Ecuador,Uruguay,6,8,1726,1966,win
2020-10-13,Venezuela,Paraguay,9,9,1830,1738,lose
2020-10-13,Peru,Brazil,2,10,1865,2081,lose
2020-10-13,Chile,Colombia,5,10,1807,1985,tie
2020-10-14,Italy,Netherlands,9,5,1968,2017,tie
2020-10-14,Poland,Bosnia and Herzegovina,10,3,1789,1683,win
2020-10-14,Iceland,Belgium,3,10,1672,2083,lose
2020-10-14,England,Denmark,10,10,1955,1891,lose
2020-10-14,Portugal,Sweden,11,3,1986,1859,win
2020-10-14,Croatia,France,6,13,1919,2046,lose
2020-10-14,Norway,Northern Ireland,9,2,1722,1677,win
2020-10-14,Romania,Austria,4,12,1701,1741,lose
2020-10-14,Scotland,Czech Republic,11,9,1639,1735,win
2020-10-14,Slovakia,Israel,2,6,1734,1538,lose
2020-10-14,Russia,Hungary,8,10,1793,1618,tie
2020-10-14,Turkey,Serbia,4,5,1778,1794,tie
2020-10-14,Bulgaria,Wales,1,10,1574,1782,lose
2020-10-14,North Macedonia,Georgia,9,9,1546,1550,tie
2020-10-14,Estonia,Armenia,2,5,1433,1450,tie
2020-10-14,Greece,Kosovo,8,2,1607,1564,tie
2020-10-14,Moldova,Slovenia,1,13,1239,1586,lose
2020-10-14,Lithuania,Albania,8,5,1320,1531,tie
2020-10-14,Belarus,Kazakhstan,7,4,1493,1360,win
2020-11-06,Ethiopia,Sudan,5,5,1280,1266,tie
2020-11-07,Bahrain,Tajikistan,10,1,1537,1237,win
2020-11-11,Albania,Kosovo,8,1,1531,1564,win
2020-11-11,Belgium,Switzerland,10,2,2083,1897,win
2020-11-11,Bulgaria,Gibraltar,3,6,1574,1085,win
2020-11-11,Denmark,Sweden,13,3,1891,1859,win
2020-11-11,France,Finland,10,12,2046,1646,lose
2020-11-11,Germany,Czech Republic,9,6,1964,1735,win
2020-11-11,Greece,Cyprus,10,1,1607,1399,win
2020-11-11,Italy,Estonia,11,2,1968,1433,win
2020-11-11,Lithuania,Faroe Islands,11,7,1320,1225,win
2020-11-11,Luxembourg,Austria,6,12,1339,1741,lose
2020-11-11,Malta,Liechtenstein,11,7,1167,1141,win
2020-11-11,Montenegro,Kazakhstan,8,5,1523,1360,tie
2020-11-11,Netherlands,Spain,3,8,2017,2028,tie
2020-11-11,Poland,Ukraine,13,3,1789,1855,win
2020-11-11,Portugal,Andorra,11,1,1986,1107,win
2020-11-11,Romania,Belarus,6,7,1701,1493,win
2020-11-11,San Marino,Latvia,1,6,820,1254,lose
2020-11-11,Slovenia,Azerbaijan,13,5,1586,1376,tie
2020-11-11,Turkey,Croatia,5,7,1778,1919,tie
2020-11-11,Guinea,Chad,10,3,1430,1210,win
2020-11-11,Mauritania,Burundi,9,5,1380,1163,tie
2020-11-11,Kenya,Comoros,6,8,1376,1189,tie
2020-11-11,Senegal,Guinea-Bissau,10,9,1763,1291,win
2020-11-11,Libya,Equatorial Guinea,5,7,1464,1298,lose
2020-11-12,Hungary,Iceland,10,3,1618,1672,win
2020-11-12,Northern Ireland,Slovakia,1,5,1677,1734,lose
2020-11-12,Serbia,Scotland,6,11,1794,1639,tie
2020-11-12,Georgia,North Macedonia,6,9,1550,1546,lose
2020-11-12,Bosnia and Herzegovina,Iran,2,9,1683,1739,lose
2020-11-12,Jordan,Iraq,8,9,1478,1623,tie
2020-11-12,Lebanon,Bahrain,8,13,1406,1537,lose
2020-11-12,Moldova,Russia,1,6,1239,1793,tie
2020-11-12,United Arab Emirates,Tajikistan,6,1,1451,1237,win
2020-11-12,Uzbekistan,Syria,6,15,1580,1484,lose
2020-11-12,Wales,United States,8,10,1782,1720,tie
2020-11-12,Bolivia,Ecuador,3,9,1595,1726,lose
2020-11-12,Argentina,Paraguay,11,9,1970,1738,tie
2020-11-12,Burkina Faso,Malawi,13,4,1526,1342,win
2020-11-12,Uganda,South Sudan,11,4,1517,1055,win
2020-11-12,Ghana,Sudan,12,2,1630,1266,win
2020-11-12,Gabon,Gambia,10,8,1457,1332,win
2020-11-12,Cape Verde,Rwanda,6,5,1401,1255,tie
2020-11-12,Cameroon,Mozambique,9,7,1578,1339,win
2020-11-12,Zambia,Botswana,9,2,1432,1297,win
2020-11-12,Algeria,Zimbabwe,13,8,1742,1408,win
2020-11-12,Congo,Eswatini,7,1,1389,1120,win
2020-11-12,Ivory Coast,Madagascar,7,7,1615,1428,win
2020-11-13,Bangladesh,Nepal,7,3,837,924,win
2020-11-13,Costa Rica,Qatar,2,7,1657,1668,tie
2020-11-13,Japan,Panama,10,6,1744,1503,win
2020-11-13,Colombia,Uruguay,10,10,1985,1966,lose
2020-11-13,Chile,Peru,8,2,1807,1865,win
2020-11-13,Brazil,Venezuela,12,6,2081,1830,win
2020-11-13,Mali,Namibia,10,4,1534,1320,win
2020-11-13,Morocco,Central African Republic,11,7,1659,1345,win
2020-11-13,Tunisia,Tanzania,13,4,1619,1298,win
2020-11-13,Niger,Ethiopia,9,4,1252,1280,win
2020-11-13,Nigeria,Sierra Leone,8,2,1709,1330,tie
2020-11-14,Portugal,France,8,10,1986,2046,lose
2020-11-14,Sweden,Croatia,6,7,1859,1919,win
2020-11-14,Germany,Ukraine,11,3,1964,1855,win
2020-11-14,Switzerland,Spain,2,6,1897,2028,tie
2020-11-14,Azerbaijan,Montenegro,6,6,1376,1523,tie
2020-11-14,Cyprus,Luxembourg,4,6,1399,1339,win
2020-11-14,Malta,Andorra,13,1,1167,1107,win
2020-11-14,Latvia,Faroe Islands,6,5,1254,1225,tie
2020-11-14,San Marino,Gibraltar,2,7,820,1085,tie
2020-11-14,Mexico,South Korea,13,9,1901,1772,win
2020-11-14,Saudi Arabia,Jamaica,12,10,1554,1581,win
2020-11-14,DR Congo,Angola,4,7,1502,1340,tie
2020-11-14,Egypt,Togo,11,3,1581,1313,win
2020-11-14,Benin,Lesotho,10,3,1459,1297,win
2020-11-15,Netherlands,Bosnia and Herzegovina,6,2,2017,1683,win
2020-11-15,Italy,Poland,11,10,1968,1789,win
2020-11-15,Belgium,England,10,9,2083,1955,win
2020-11-15,Denmark,Iceland,15,3,1891,1672,win
2020-11-15,Austria,Northern Ireland,15,1,1741,1677,win
2020-11-15,Romania,Norway,6,9,1701,1722,win
2020-11-15,Slovakia,Scotland,7,8,1734,1639,win
2020-11-15,Czech Republic,Israel,9,5,1735,1538,win
2020-11-15,Turkey,Russia,7,3,1778,1793,win
2020-11-15,Hungary,Serbia,11,6,1618,1794,tie
2020-11-15,Bulgaria,Finland,3,12,1574,1646,lose
2020-11-15,North Macedonia,Estonia,11,2,1546,1433,win
2020-11-15,Georgia,Armenia,5,8,1550,1450,lose
2020-11-15,Slovenia,Kosovo,13,1,1586,1564,win
2020-11-15,Moldova,Greece,1,10,1239,1607,lose
2020-11-15,Albania,Kazakhstan,8,2,1531,1360,win
2020-11-15,Belarus,Lithuania,7,8,1493,1320,win
2020-11-15,Guatemala,Honduras,11,8,1501,1630,win
2020-11-15,Chad,Guinea,1,11,1210,1430,tie
2020-11-15,Burundi,Mauritania,7,8,1163,1380,win
2020-11-15,Comoros,Kenya,11,6,1189,1376,win
2020-11-15,Guinea-Bissau,Senegal,6,12,1291,1763,lose
2020-11-15,Equatorial Guinea,Libya,7,4,1298,1464,win
2020-11-16,Jordan,Syria,10,12,1478,1484,win
2020-11-16,United Arab Emirates,Bahrain,3,13,1451,1537,lose
2020-11-16,United States,Panama,13,6,1720,1503,win
2020-11-16,Malawi,Burkina Faso,2,13,1342,1526,tie
2020-11-16,South Sudan,Uganda,4,10,1055,1517,win
2020-11-16,Gambia,Gabon,10,7,1332,1457,win
2020-11-16,Mozambique,Cameroon,4,11,1339,1578,lose
2020-11-16,Zimbabwe,Algeria,6,11,1408,1742,tie
2020-11-16,Botswana,Zambia,4,9,1297,1432,win
2020-11-16,Eswatini,Congo,2,7,1120,1389,tie
2020-11-17,Croatia,Portugal,4,10,1919,1986,lose
2020-11-17,France,Sweden,10,3,2046,1859,win
2020-11-17,Spain,Germany,8,10,2028,1964,win
2020-11-17,Switzerland,Ukraine,5,3,1897,1855,win
2020-11-17,Luxembourg,Azerbaijan,7,4,1339,1376,tie
2020-11-17,Montenegro,Cyprus,8,4,1523,1399,win
2020-11-17,Andorra,Latvia,1,8,1107,1254,lose
2020-11-17,Malta,Faroe Islands,11,6,1167,1225,tie
2020-11-17,Gibraltar,Liechtenstein,5,5,1085,1141,tie
2020-11-17,Bangladesh,Nepal,5,1,837,924,tie
2020-11-17,Japan,Mexico,7,13,1744,1901,lose
2020-11-17,South Korea,Qatar,12,4,1772,1668,win
2020-11-17,Saudi Arabia,Jamaica,9,10,1554,1581,lose
2020-11-17,Uzbekistan,Iraq,6,9,1580,1623,lose
2020-11-17,Ecuador,Colombia,9,7,1726,1985,win
2020-11-17,Venezuela,Chile,6,7,1830,1807,win
2020-11-17,Peru,Argentina,1,11,1865,1970,lose
2020-11-17,Paraguay,Bolivia,7,4,1738,1595,tie
2020-11-17,Uruguay,Brazil,7,15,1966,2081,lose
2020-11-17,Namibia,Mali,4,13,1320,1534,lose
2020-11-17,Sudan,Ghana,5,9,1266,1630,win
2020-11-17,Angola,DR Congo,4,6,1340,1502,lose
2020-11-17,Central African Republic,Morocco,6,13,1345,1659,lose
2020-11-17,Rwanda,Cape Verde,3,6,1255,1401,tie
2020-11-17,Togo,Egypt,2,11,1313,1581,lose
2020-11-17,Tanzania,Tunisia,4,11,1298,1619,tie
2020-11-17,Ethiopia,Niger,7,9,1280,1252,win
2020-11-17,Madagascar,Ivory Coast,7,5,1428,1615,tie
2020-11-17,Sierra Leone,Nigeria,2,6,1330,1709,tie
2020-11-17,Lesotho,Benin,3,10,1297,1459,tie
2020-11-18,Bosnia and Herzegovina,Italy,1,11,1683,1968,lose
2020-11-18,Poland,Netherlands,7,9,1789,2017,lose
2020-11-18,England,Iceland,9,0,1955,1672,win
2020-11-18,Belgium,Denmark,12,12,2083,1891,win
2020-11-18,Northern Ireland,Romania,1,7,1677,1701,tie
2020-11-18,Austria,Norway,13,7,1741,1722,tie
2020-11-18,Czech Republic,Slovakia,9,6,1735,1734,win
2020-11-18,Israel,Scotland,7,7,1538,1639,win
2020-11-18,Hungary,Turkey,11,6,1618,1778,win
2020-11-18,Serbia,Russia,6,3,1794,1793,win
2020-11-18,Wales,Finland,11,12,1782,1646,win
2020-11-18,Armenia,North Macedonia,11,8,1450,1546,win
2020-11-18,Georgia,Estonia,3,3,1550,1433,tie
2020-11-18,Kosovo,Moldova,4,1,1564,1239,win
2020-11-18,Greece,Slovenia,11,11,1607,1586,tie
2020-11-18,Albania,Belarus,11,7,1531,1493,win
2020-11-18,Kazakhstan,Lithuania,2,8,1360,1320,lose
2020-12-04,Qatar,Bangladesh,4,5,1668,837,win
2020-12-09,United States,El Salvador,13,9,1720,1488,win
2021-01-12,United Arab Emirates,Iraq,4,7,1429,1627,tie
2021-01-18,Kuwait,Palestine,6,4,1421,1403,lose
2021-01-19,Dominican Republic,Puerto Rico,4,9,1182,974,lose
2021-01-22,Guatemala,Puerto Rico,13,9,1486,974,win
2021-01-25,Dominican Republic,Serbia,2,7,1182,1789,tie
2021-01-27,Iraq,Kuwait,9,3,1627,1421,win
2021-01-28,Panama,Serbia,7,7,1533,1789,tie
2021-01-31,United States,Trinidad and Tobago,13,3,1745,1345,win
2021-02-01,Jordan,Tajikistan,10,1,1492,1229,win
2021-02-05,Jordan,Tajikistan,10,4,1492,1229,lose
2021-02-15,Jordan,Uzbekistan,7,6,1492,1552,lose
2021-02-24,Guatemala,Nicaragua,13,2,1486,1208,win
2021-03-13,Kenya,South Sudan,8,4,1349,1090,win
2021-03-15,Kenya,Tanzania,10,1,1349,1292,win
2021-03-17,Ethiopia,Malawi,10,2,1273,1335,win
2021-03-20,Oman,Jordan,8,7,1504,1492,tie
2021-03-24,Belarus,Honduras,7,6,1496,1610,tie
2021-03-24,Jordan,Lebanon,7,5,1492,1397,win
2021-03-24,Kosovo,Lithuania,7,7,1491,1370,win
2021-03-24,Qatar,Luxembourg,7,4,1638,1363,win
2021-03-24,Antigua and Barbuda,Montserrat,4,5,1156,860,tie
2021-03-24,Suriname,Cayman Islands,10,6,1313,913,win
2021-03-24,Guatemala,Cuba,13,4,1486,1268,win
2021-03-24,Dominican Republic,Dominica,4,3,1182,1021,win
2021-03-24,Saint Kitts and Nevis,Puerto Rico,7,6,1197,974,win
2021-03-24,Portugal,Azerbaijan,12,4,2038,1383,win
2021-03-24,France,Ukraine,10,4,2091,1834,tie
2021-03-24,Finland,Bosnia and Herzegovina,10,1,1707,1634,tie
2021-03-24,Belgium,Wales,15,10,2110,1828,win
2021-03-24,Estonia,Czech Republic,2,9,1382,1760,lose
2021-03-24,Turkey,Netherlands,8,8,1752,1994,win
2021-03-24,Gibraltar,Norway,5,10,1094,1763,lose
2021-03-24,Latvia,Montenegro,7,8,1261,1531,lose
2021-03-24,Malta,Russia,10,5,1214,1743,lose
2021-03-24,Slovenia,Croatia,11,1,1628,1859,win
2021-03-24,Cyprus,Slovakia,5,7,1326,1664,tie
2021-03-24,Chad,Namibia,1,4,1180,1310,lose
2021-03-24,Guinea,Mali,13,12,1434,1573,win
2021-03-24,South Sudan,Malawi,4,5,1090,1335,lose
2021-03-24,Uganda,Burkina Faso,8,11,1482,1550,tie
2021-03-24,Rwanda,Mozambique,5,1,1268,1289,win
2021-03-24,Ethiopia,Madagascar,10,4,1273,1421,win
2021-03-25,Bahrain,Syria,15,9,1564,1486,win
2021-03-25,India,Oman,4,6,1193,1504,tie
2021-03-25,Japan,South Korea,10,9,1744,1773,win
2021-03-25,Saudi Arabia,Kuwait,9,0,1555,1421,win
2021-03-25,United States,Jamaica,13,7,1745,1583,win
2021-03-25,El Salvador,Grenada,9,8,1478,1211,win
2021-03-25,Canada,Bermuda,9,4,1599,1295,win
2021-03-25,Panama,Barbados,7,3,1533,1100,win
2021-03-25,Haiti,Belize,6,6,1557,1138,win
2021-03-25,Trinidad and Tobago,Guyana,6,7,1345,1218,win
2021-03-25,Spain,Greece,6,9,2050,1626,tie
2021-03-25,Sweden,Georgia,6,2,1820,1506,win
2021-03-25,Bulgaria,Switzerland,4,8,1504,1870,lose
2021-03-25,Italy,Northern Ireland,13,1,1997,1585,win
2021-03-25,Israel,Denmark,6,12,1591,1927,lose
2021-03-25,Scotland,Austria,5,11,1659,1786,tie
2021-03-25,Moldova,Faroe Islands,2,6,1226,1261,tie
2021-03-25,England,San Marino,9,2,1961,830,win
2021-03-25,Andorra,Albania,0,13,1036,1556,lose
2021-03-25,Hungary,Poland,9,7,1744,1812,tie
2021-03-25,Germany,Iceland,10,0,1955,1633,win
2021-03-25,Liechtenstein,Armenia,2,11,1115,1522,lose
2021-03-25,Romania,North Macedonia,10,7,1666,1569,win
2021-03-25,South Africa,Ghana,8,7,1515,1603,tie
2021-03-25,Gambia,Angola,10,4,1355,1350,win
2021-03-25,Gabon,DR Congo,9,5,1431,1500,win
2021-03-25,Comoros,Togo,9,3,1242,1293,tie
2021-03-25,Kenya,Egypt,8,9,1349,1601,tie
2021-03-25,Botswana,Zimbabwe,4,8,1315,1417,lose
2021-03-25,Zambia,Algeria,7,9,1445,1747,tie
2021-03-25,Equatorial Guinea,Tanzania,9,1,1346,1292,win
2021-03-25,Libya,Tunisia,3,11,1399,1615,lose
2021-03-25,Tajikistan,Mongolia,6,1,1229,733,win
2021-03-26,Chile,Bolivia,7,1,1813,1583,win
2021-03-26,Burundi,Central African Republic,8,4,1250,1331,tie
2021-03-26,Mauritania,Morocco,8,11,1337,1681,tie
2021-03-26,Cape Verde,Cameroon,8,8,1384,1604,win
2021-03-26,Eswatini,Guinea-Bissau,1,6,1122,1295,lose
2021-03-26,Congo,Senegal,8,10,1375,1755,tie
2021-03-26,Niger,Ivory Coast,9,8,1254,1617,lose
2021-03-27,Bosnia and Herzegovina,Costa Rica,2,2,1634,1621,tie
2021-03-27,Nepal,Bangladesh,2,5,910,848,tie
2021-03-27,Qatar,Azerbaijan,10,3,1638,1383,win
2021-03-27,Wales,Mexico,10,10,1828,1928,win
2021-03-27,Aruba,Suriname,0,12,890,1313,lose
2021-03-27,British Virgin Islands,Guatemala,0,15,608,1486,lose
2021-03-27,Anguilla,Dominican Republic,0,7,546,1182,lose
2021-03-27,Turks and Caicos Islands,Nicaragua,6,5,800,1208,lose
2021-03-27,Bahamas,Saint Kitts and Nevis,10,7,897,1197,lose
2021-03-27,Serbia,Portugal,9,10,1789,2038,tie
2021-03-27,Belarus,Estonia,7,1,1496,1382,win
2021-03-27,Czech Republic,Belgium,10,13,1760,2110,tie
2021-03-27,Montenegro,Gibraltar,11,2,1531,1094,win
2021-03-27,Netherlands,Latvia,10,7,1994,1261,win
2021-03-27,Norway,Turkey,7,10,1763,1752,lose
2021-03-27,Russia,Slovenia,7,8,1743,1628,win
2021-03-27,Croatia,Cyprus,4,4,1859,1326,win
2021-03-27,Slovakia,Malta,8,8,1664,1214,tie
2021-03-27,Lesotho,Sierra Leone,3,3,1295,1345,tie
2021-03-27,Benin,Nigeria,10,6,1476,1668,lose
2021-03-28,Greece,Honduras,11,5,1626,1610,win
2021-03-28,Northern Ireland,United States,1,15,1585,1745,lose
2021-03-28,Montserrat,El Salvador,6,7,860,1478,tie
2021-03-28,Cuba,Curaçao,4,8,1268,1412,lose
2021-03-28,Dominica,Panama,3,7,1021,1533,lose
2021-03-28,Puerto Rico,Trinidad and Tobago,7,4,974,1345,tie
2021-03-28,Georgia,Spain,1,9,1506,2050,lose
2021-03-28,Kosovo,Sweden,6,9,1491,1820,lose
2021-03-28,Switzerland,Lithuania,10,6,1870,1370,win
2021-03-28,Bulgaria,Italy,4,15,1504,1997,lose
2021-03-28,Kazakhstan,France,1,10,1333,2091,lose
2021-03-28,Ukraine,Finland,2,8,1834,1707,tie
2021-03-28,Denmark,Moldova,12,2,1927,1226,win
2021-03-28,Austria,Faroe Islands,11,3,1786,1261,win
2021-03-28,Israel,Scotland,7,3,1591,1659,tie
2021-03-28,Albania,England,12,12,1556,1961,lose
2021-03-28,Poland,Andorra,7,0,1812,1036,win
2021-03-28,San Marino,Hungary,2,11,830,1744,lose
2021-03-28,Armenia,Iceland,13,0,1522,1633,win
2021-03-28,North Macedonia,Liechtenstein,9,2,1569,1115,win
2021-03-28,Romania,Germany,10,12,1666,1955,lose
2021-03-28,Namibia,Guinea,7,10,1310,1434,win
2021-03-28,Mali,Chad,12,1,1573,1180,win
2021-03-28,Sudan,South Africa,10,7,1329,1515,win
2021-03-28,Tunisia,Equatorial Guinea,11,9,1615,1346,win
2021-03-28,Tanzania,Libya,4,3,1292,1399,win
2021-03-29,Ecuador,Bolivia,12,1,1826,1583,win
2021-03-29,Kuwait,Lebanon,1,3,1421,1397,tie
2021-03-29,Nepal,Bangladesh,5,5,910,848,win
2021-03-29,Uzbekistan,Iraq,6,11,1552,1627,lose
2021-03-29,Cayman Islands,Canada,6,12,913,1599,lose
2021-03-29,Burkina Faso,South Sudan,11,3,1550,1090,win
2021-03-29,Malawi,Uganda,7,7,1335,1482,win
2021-03-29,Angola,Gabon,7,6,1350,1431,win
2021-03-29,DR Congo,Gambia,8,9,1500,1355,win
2021-03-29,Togo,Kenya,2,10,1293,1349,lose
2021-03-29,Egypt,Comoros,11,6,1601,1242,win
2021-03-29,Algeria,Botswana,9,3,1747,1315,win
2021-03-29,Zimbabwe,Zambia,5,10,1417,1445,lose
2021-03-29,United Arab Emirates,India,7,3,1429,1193,win
2021-03-30,Bahrain,Jordan,12,7,1564,1492,lose
2021-03-30,Costa Rica,Mexico,2,10,1621,1928,lose
2021-03-30,Iran,Syria,9,6,1763,1486,win
2021-03-30,Bermuda,Aruba,4,0,1295,890,win
2021-03-30,Barbados,Anguilla,6,0,1100,546,win
2021-03-30,Belize,Turks and Caicos Islands,9,6,1138,800,win
2021-03-30,Guyana,Bahamas,10,7,1218,897,win
2021-03-30,Azerbaijan,Serbia,2,9,1383,1789,lose
2021-03-30,Luxembourg,Portugal,4,10,1363,2038,lose
2021-03-30,Wales,Czech Republic,12,10,1828,1760,win
2021-03-30,Belgium,Belarus,13,7,2110,1496,win
2021-03-30,Gibraltar,Netherlands,2,12,1094,1994,lose
