date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2018-09-08,England,Spain,4,9,1932,2030,lose
2018-09-08,Finland,Hungary,10,1,1594,1611,win
2018-09-08,Luxembourg,Moldova,10,2,1321,1330,win
2018-09-08,Morocco,Malawi,7,3,1688,1300,win
2018-09-08,Seychelles,Nigeria,3,6,938,1695,lose
2018-09-09,France,Netherlands,13,8,1988,1894,win
2018-09-09,Ukraine,Slovakia,13,7,1738,1747,win
2018-09-09,Denmark,Wales,6,7,1840,1764,win
2018-09-09,Georgia,Latvia,12,5,1481,1362,win
2018-09-09,Germany,Peru,7,3,2108,1881,win
2018-09-09,Madagascar,Senegal,5,8,1365,1747,tie
2018-09-09,Angola,Botswana,8,7,1239,1253,win
2018-09-10,Portugal,Italy,8,5,1993,1905,win
2018-09-10,Sweden,Turkey,6,8,1823,1711,lose
2018-09-10,Scotland,Albania,6,3,1719,1608,win
2018-09-10,Montenegro,Lithuania,6,1,1612,1406,win
2018-09-10,Serbia,Romania,7,11,1783,1687,tie
2018-09-10,Andorra,Kazakhstan,7,7,1012,1339,tie
2018-09-10,Malta,Azerbaijan,2,8,1214,1400,tie
2018-09-10,Kuwait,Iraq,5,6,1426,1573,tie
2018-09-10,Russia,Czech Republic,8,6,1696,1712,win
2018-09-10,Saudi Arabia,Bolivia,4,2,1570,1706,tie
2018-09-11,Iceland,Belgium,1,12,1811,1926,lose
2018-09-11,Spain,Croatia,11,5,2030,1855,win
2018-09-11,Bosnia and Herzegovina,Austria,11,9,1723,1711,win
2018-09-11,Hungary,Greece,4,6,1611,1660,win
2018-09-11,Finland,Estonia,12,3,1594,1506,win
2018-09-11,Moldova,Belarus,2,8,1330,1496,tie
2018-09-11,Colombia,Argentina,11,7,1926,1984,tie
2018-09-11,England,Switzerland,6,7,1932,1865,win
2018-09-11,Japan,Costa Rica,7,1,1706,1744,win
2018-09-11,Jordan,Oman,8,9,1482,1516,tie
2018-09-11,Kenya,Malawi,9,2,1394,1300,win
2018-09-11,South Korea,Chile,7,6,1760,1859,tie
2018-09-11,United States,Mexico,7,3,1751,1847,win
2018-09-11,Uzbekistan,Iran,1,10,1611,1800,lose
2018-09-12,Nepal,Maldives,6,7,906,944,lose
2018-09-15,Maldives,India,10,12,944,1163,win
2018-09-30,Botswana,Namibia,7,5,1253,1381,win
